dataset_name,type,layer,binarize_value,top_n,width,linear_macro_f1_score
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,0,20,16k,0.6376811594202898
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,1,0,16k,0.767182913250329
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,0,50,16k,0.7390606182256123
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,1,50,16k,0.6788438378161381
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,1,20,16k,0.7241086587436333
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,0,0,16k,0.7457023700539112
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,20,0,20,16k,0.7175436761167486
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,1,0,16k,0.7362012987012987
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,0,50,16k,0.8221571294068417
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,1,20,16k,0.7536945812807883
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,0,20,16k,0.6970037032880709
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,1,50,16k,0.8270776116366596
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,1,20,16k,0.849624060150376
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,0,20,16k,0.8098288459613652
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,0,0,16k,0.769792813532179
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,0,50,16k,0.8173701298701299
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,1,50,16k,0.7992773986350863
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,31,1,0,16k,0.8173701298701299
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,0,0,16k,0.5219204557013528
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,1,0,16k,0.4991987179487179
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,0,50,16k,0.5538956323270048
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,1,50,16k,0.5169082125603865
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,1,20,16k,0.5442708333333334
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,0,20,16k,0.5160127690248172
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,1,50,65k,0.4781212364512244
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,0,0,65k,0.5398159263705482
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,0,50,65k,0.5331465919701214
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,1,0,65k,0.4969942338363391
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,1,20,65k,0.5219204557013528
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,5,0,20,65k,0.5169082125603865
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,1,50,16k,0.5512035903712771
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,1,20,16k,0.565936337329475
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,0,20,16k,0.5738636363636364
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,0,0,16k,0.6368917937545389
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,0,50,16k,0.5017958521608157
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,1,0,16k,0.6100164203612479
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,0,0,16k,0.5151515151515151
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,1,0,16k,0.5625
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,0,50,16k,0.5308037535699714
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,1,20,16k,0.5920032639738881
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,0,20,16k,0.5021573182874212
AIM-Harvard/google_gemma_2_2b_pubmed_qa,Hidden States,9,1,50,16k,0.5208333333333334
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,12,1,0,16k,0.5829518868884143
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,19,1,0,16k,0.5366079703429101
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,20,1,0,16k,0.5444883085332524
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,20,1,0,16k,0.6068152031454783
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,31,1,0,16k,0.5361881134721174
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,31,1,0,16k,0.7126436781609196
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,5,1,0,16k,0.5463252343986289
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,9,1,0,16k,0.5459824728117411
AIM-Harvard/google_gemma_2_2b_pubmed_qa,SAE Features,9,1,0,16k,0.4479205005520795
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,0,50,16k,0.609375
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,1,20,16k,0.5601023017902813
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,1,0,16k,0.537037037037037
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,1,50,16k,0.5696126513862476
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,0,0,16k,0.52
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,0,20,16k,0.5242433444680635
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,0,0,65k,0.5699569956995699
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,0,20,65k,0.5320855614973261
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,1,0,65k,0.5288220551378446
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,0,50,65k,0.5083167695365624
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,1,20,65k,0.5327635327635327
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,12,1,50,65k,0.5512035903712771
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,0,20,16k,0.5535714285714286
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,0,50,16k,0.5849782366636299
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,0,0,16k,0.4798733604703754
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,1,50,16k,0.5993589743589745
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,1,0,16k,0.5477841422972565
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,1,20,16k,0.6010230179028133
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,1,50,65k,0.5361881134721174
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,1,0,65k,0.6198479391756703
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,0,20,65k,0.5899589958995899
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,1,20,65k,0.5985547972701726
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,0,0,65k,0.5894909688013137
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,19,0,50,65k,0.6347402597402598
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,0,20,16k,0.5866518802298619
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,1,50,16k,0.5555555555555556
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,0,50,16k,0.6496847162446202
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,1,20,16k,0.565936337329475
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,1,0,16k,0.5459824728117411
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,0,20,16k,0.592944369063772
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,1,20,16k,0.7126436781609196
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,1,0,16k,0.561128526645768
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,0,0,16k,0.7013695808876532
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,1,50,16k,0.6376811594202898
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,20,0,50,16k,0.677938808373591
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,1,0,16k,0.6598639455782312
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,0,20,16k,0.5896306676008407
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,1,20,16k,0.5219204557013528
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,0,50,16k,0.6419437340153453
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,1,50,16k,0.6491228070175439
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,0,0,16k,0.721964782205746
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,0,50,16k,0.7591328783621036
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,1,0,16k,0.7142857142857143
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,1,20,16k,0.7469379491851402
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,1,50,16k,0.7742200328407225
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,31,0,20,16k,0.7099709970997099
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,1,20,16k,0.4812328349099786
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,1,0,16k,0.5242433444680635
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,0,50,16k,0.5073891625615763
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,1,50,16k,0.5464100011063171
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,0,20,16k,0.5123975516132379
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,0,0,16k,0.5444883085332524
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,1,0,65k,0.5535714285714286
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,0,20,65k,0.5248653785239151
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,1,50,65k,0.5664885573142454
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,0,50,65k,0.5746446726838883
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,1,20,65k,0.5308037535699714
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,5,0,0,65k,0.4652406417112299
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,1,50,16k,0.5738636363636364
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,0,20,16k,0.5558672276764843
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,0,50,16k,0.5920032639738881
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,1,20,16k,0.6224786970121885
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,0,0,16k,0.5444883085332524
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,1,0,16k,0.4635084522724972
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,0,20,16k,0.562608076492727
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,1,0,16k,0.4791666666666667
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,1,50,16k,0.5796553173602353
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,1,20,16k,0.5083167695365624
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,0,50,16k,0.5716034271725826
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,Hidden States,9,0,0,16k,0.4926948051948052
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,12,0,0,16k,0.5659722222222222
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,19,0,0,16k,0.5577607593571352
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,20,0,0,16k,0.6310763888888888
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,31,0,0,16k,0.554367201426025
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,5,0,0,16k,0.4246260069044879
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,9,0,0,16k,0.5248653785239151
AIM-Harvard/google_gemma_2_9b_it_pubmed_qa,SAE Features,9,0,0,16k,0.4800309768779732
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,0,20,16k,0.58
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,1,50,16k,0.6269785260610949
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,1,0,16k,0.6032956972841013
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,0,50,16k,0.6254681647940075
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,1,20,16k,0.5696126513862476
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,0,0,16k,0.5833333333333333
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,0,20,65k,0.6439833180754755
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,1,20,65k,0.6072757337742869
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,0,0,65k,0.54995499549955
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,1,50,65k,0.6659580929243851
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,0,50,65k,0.5604395604395604
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,12,1,0,65k,0.568922305764411
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,0,20,16k,0.7253585596582239
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,0,0,16k,0.6006725514922235
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,0,50,16k,0.7398959583833533
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,1,50,16k,0.7699769976997699
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,1,0,16k,0.7395833333333333
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,1,20,16k,0.6376811594202898
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,1,0,65k,0.7159090909090908
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,1,50,65k,0.769792813532179
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,0,50,65k,0.7085720028137876
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,0,20,65k,0.7479584635547938
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,1,20,65k,0.736036321402175
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,19,0,0,65k,0.7159090909090908
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,1,20,16k,0.7799119647859143
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,1,0,16k,0.7575757575757576
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,0,50,16k,0.6693333333333333
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,0,20,16k,0.7584541062801933
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,1,50,16k,0.6782496782496783
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,1,20,16k,0.7348021215830274
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,1,0,16k,0.7889659330720531
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,0,0,16k,0.7777777777777778
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,1,50,16k,0.7286704853783539
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,0,20,16k,0.7362012987012987
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,20,0,50,16k,0.74997499749975
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,1,50,16k,0.7373737373737375
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,0,50,16k,0.8067338012409724
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,1,0,16k,0.8474214220323466
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,1,20,16k,0.7469379491851402
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,0,20,16k,0.7916666666666667
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,1,0,16k,0.8221571294068417
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,0,0,16k,0.8221571294068417
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,1,50,16k,0.8098288459613652
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,0,50,16k,0.7960016319869441
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,0,20,16k,0.8295739348370927
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,31,1,20,16k,0.8197115384615384
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,0,0,16k,0.586606035551881
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,1,50,16k,0.562608076492727
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,1,20,16k,0.3985139757046821
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,1,0,16k,0.5777983729790959
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,0,20,16k,0.5592948717948718
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,0,50,16k,0.5647332725984411
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,0,0,65k,0.6010230179028133
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,1,20,65k,0.5
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,1,0,65k,0.5920075321686369
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,1,50,65k,0.54995499549955
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,0,50,65k,0.4523809523809523
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,5,0,20,65k,0.4991987179487179
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,1,20,16k,0.5169082125603865
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,1,0,16k,0.5416666666666666
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,0,50,16k,0.6175523349436394
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,0,20,16k,0.4747474747474747
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,0,0,16k,0.4916485112563544
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,1,50,16k,0.60996099609961
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,0,20,16k,0.5584102769971899
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,0,50,16k,0.5833333333333333
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,1,20,16k,0.4832575444398512
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,0,0,16k,0.5353535353535354
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,1,0,16k,0.5248653785239151
AIM-Harvard/google_gemma_2_9b_pubmed_qa,Hidden States,9,1,50,16k,0.5495946351716545
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,12,1,50,16k,0.5331465919701214
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,19,1,50,16k,0.5535714285714286
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,20,1,50,16k,0.565936337329475
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,20,1,50,16k,0.6753246753246753
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,31,1,50,16k,0.5416666666666666
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,31,1,50,16k,0.5953937130407718
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,5,1,50,16k,0.6072757337742869
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,9,1,50,16k,0.5625
AIM-Harvard/google_gemma_2_9b_pubmed_qa,SAE Features,9,1,50,16k,0.5
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,50,16k,0.902
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,0,16k,0.9149693039187148
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,16k,0.9149856325719048
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,20,16k,0.8159528839382881
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,16k,0.952999576996193
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,20,16k,0.6847701974739585
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,20,16k,0.8099809980998101
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,50,16k,0.6843637416366444
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,50,16k,0.944998624965624
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,50,16k,0.6857171454308878
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,50,16k,0.8268918073796123
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,50,16k,0.9009919803504084
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,50,16k,0.9499991999871998
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,50,16k,0.8759682478714551
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,20,16k,0.8989877775210801
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,20,16k,0.9399913587556608
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,20,16k,0.8719918074756785
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,20,16k,0.8699979199667195
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,20,16k,0.8949822520005881
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,16k,0.667998671994688
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,20,16k,0.9389950585997466
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,0,16k,0.6678923971366723
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,20,16k,0.6777821807541898
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,0,16k,0.9479925109215728
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,50,16k,0.831983198319832
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,0,16k,0.8709430859008822
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,50,16k,0.8809798856006665
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,16k,0.8089982809845289
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,1,0,16k,0.8179970879534073
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,16k,0.8708417811819479
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,50,65k,0.6818969346068127
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,20,65k,0.6877552000768603
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,65k,0.9109443402126328
AIM-Harvard/multilingual_toxicity_dataset,Hidden States,12,0,0,65k,0.6824127812324989
